43	q3	[40.6, 60.400000000000006]
25	q2	[20.8, 40.6]
27	q2	[20.8, 40.6]
40	q2	[20.8, 40.6]
2	q1	[1.0, 20.8]
26	q2	[20.8, 40.6]
12	q1	[1.0, 20.8]
95	q5	[80.2, 100.0]
66	q4	[60.400000000000006, 80.2]
39	q2	[20.8, 40.6]
5	q1	[1.0, 20.8]
19	q1	[1.0, 20.8]
91	q5	[80.2, 100.0]
24	q2	[20.8, 40.6]
51	q3	[40.6, 60.400000000000006]
68	q4	[60.400000000000006, 80.2]
85	q5	[80.2, 100.0]
31	q2	[20.8, 40.6]
29	q2	[20.8, 40.6]
64	q4	[60.400000000000006, 80.2]
20	q1	[1.0, 20.8]
83	q5	[80.2, 100.0]
3	q1	[1.0, 20.8]
79	q4	[60.400000000000006, 80.2]
67	q4	[60.400000000000006, 80.2]
76	q4	[60.400000000000006, 80.2]
49	q3	[40.6, 60.400000000000006]
88	q5	[80.2, 100.0]
73	q4	[60.400000000000006, 80.2]
70	q4	[60.400000000000006, 80.2]
60	q3	[40.6, 60.400000000000006]
92	q5	[80.2, 100.0]
84	q5	[80.2, 100.0]
8	q1	[1.0, 20.8]
1	q1	[1.0, 20.8]
94	q5	[80.2, 100.0]
81	q5	[80.2, 100.0]
9	q1	[1.0, 20.8]
44	q3	[40.6, 60.400000000000006]
65	q4	[60.400000000000006, 80.2]
11	q1	[1.0, 20.8]
35	q2	[20.8, 40.6]
56	q3	[40.6, 60.400000000000006]
74	q4	[60.400000000000006, 80.2]
53	q3	[40.6, 60.400000000000006]
71	q4	[60.400000000000006, 80.2]
57	q3	[40.6, 60.400000000000006]
23	q2	[20.8, 40.6]
10	q1	[1.0, 20.8]
46	q3	[40.6, 60.400000000000006]
17	q1	[1.0, 20.8]
54	q3	[40.6, 60.400000000000006]
33	q2	[20.8, 40.6]
30	q2	[20.8, 40.6]
42	q3	[40.6, 60.400000000000006]
18	q1	[1.0, 20.8]
75	q4	[60.400000000000006, 80.2]
47	q3	[40.6, 60.400000000000006]
63	q4	[60.400000000000006, 80.2]
86	q5	[80.2, 100.0]
36	q2	[20.8, 40.6]
87	q5	[80.2, 100.0]
61	q4	[60.400000000000006, 80.2]
58	q3	[40.6, 60.400000000000006]
59	q3	[40.6, 60.400000000000006]
14	q1	[1.0, 20.8]
55	q3	[40.6, 60.400000000000006]
7	q1	[1.0, 20.8]
99	q5	[80.2, 100.0]
96	q5	[80.2, 100.0]
13	q1	[1.0, 20.8]
50	q3	[40.6, 60.400000000000006]
34	q2	[20.8, 40.6]
38	q2	[20.8, 40.6]
90	q5	[80.2, 100.0]
100	q5	[80.2, 100.0]
69	q4	[60.400000000000006, 80.2]
72	q4	[60.400000000000006, 80.2]
80	q4	[60.400000000000006, 80.2]
21	q2	[20.8, 40.6]
77	q4	[60.400000000000006, 80.2]
37	q2	[20.8, 40.6]
28	q2	[20.8, 40.6]
15	q1	[1.0, 20.8]
78	q4	[60.400000000000006, 80.2]
48	q3	[40.6, 60.400000000000006]
97	q5	[80.2, 100.0]
6	q1	[1.0, 20.8]
22	q2	[20.8, 40.6]
45	q3	[40.6, 60.400000000000006]
41	q3	[40.6, 60.400000000000006]
62	q4	[60.400000000000006, 80.2]
82	q5	[80.2, 100.0]
32	q2	[20.8, 40.6]
93	q5	[80.2, 100.0]
16	q1	[1.0, 20.8]
98	q5	[80.2, 100.0]
4	q1	[1.0, 20.8]
52	q3	[40.6, 60.400000000000006]
89	q5	[80.2, 100.0]
